,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,True,1,0.020055055618286133,1000,84.12497108430364,"[{'arm_8': np.float64(0.9416068374458824), 'arm_0': np.float64(0.8923881195057194), 'arm_5': np.float64(0.8760273397784025), 'arm_6': np.float64(0.8188384949729959), 'arm_7': np.float64(0.8019065889387244), 'arm_1': np.float64(0.652358493582924), 'arm_3': np.float64(0.36291440699705657), 'arm_2': np.float64(0.34129773684206344), 'arm_4': np.float64(0.28894623921296425), 'arm_9': np.float64(0.1943786493683506)}]","[{'arm_8': np.float64(0.5704772475027747), 'arm_5': np.float64(0.49476439790575916), 'arm_6': np.float64(0.4576271186440678), 'arm_7': np.float64(0.44285714285714284), 'arm_1': np.float64(0.43537414965986393), 'arm_0': np.float64(0.4148936170212766), 'arm_3': np.float64(0.3888888888888889), 'arm_2': np.float64(0.325), 'arm_4': np.float64(0.3235294117647059), 'arm_9': np.float64(0.22727272727272727)}]"
1,1,thompson,False,2,0.020987510681152344,1000,78.1686753791846,"[{'arm_2': np.float64(0.8397290299306236), 'arm_8': np.float64(0.7917259249796662), 'arm_9': np.float64(0.7862327057136533), 'arm_1': np.float64(0.6727548132958033), 'arm_7': np.float64(0.6033680499192556), 'arm_0': np.float64(0.4209138423562384), 'arm_4': np.float64(0.3849820827800903), 'arm_6': np.float64(0.2566426143209495), 'arm_3': np.float64(0.12907357412493492), 'arm_5': np.float64(0.024179311126842684)}]","[{'arm_8': np.float64(0.5579793340987371), 'arm_2': np.float64(0.49404761904761907), 'arm_1': np.float64(0.47191011235955055), 'arm_9': np.float64(0.46788990825688076), 'arm_7': np.float64(0.41818181818181815), 'arm_0': np.float64(0.41414141414141414), 'arm_4': np.float64(0.21052631578947367), 'arm_3': np.float64(0.1875), 'arm_6': np.float64(0.1875), 'arm_5': np.float64(0.1111111111111111)}]"
2,2,thompson,True,1,0.02051091194152832,1000,68.31062707109288,"[{'arm_1': np.float64(0.6926603562219198), 'arm_4': np.float64(0.6475563108169516), 'arm_6': np.float64(0.6377731564446777), 'arm_5': np.float64(0.5777693891809682), 'arm_3': np.float64(0.43805981354439594), 'arm_8': np.float64(0.360930882468279), 'arm_2': np.float64(0.21585280524429562), 'arm_0': np.float64(0.21546432160970042), 'arm_7': np.float64(0.17780940501128228), 'arm_9': np.float64(0.15007500222603598)}]","[{'arm_1': np.float64(0.5637254901960784), 'arm_5': np.float64(0.5085803432137286), 'arm_6': np.float64(0.4915572232645403), 'arm_4': np.float64(0.39655172413793105), 'arm_3': np.float64(0.3880597014925373), 'arm_8': np.float64(0.3333333333333333), 'arm_2': np.float64(0.2692307692307692), 'arm_7': np.float64(0.2), 'arm_9': np.float64(0.17647058823529413), 'arm_0': np.float64(0.1111111111111111)}]"
3,3,thompson,True,1,0.02001667022705078,1000,189.3769640284106,"[{'arm_1': np.float64(0.9614262244082841), 'arm_8': np.float64(0.8318107596362966), 'arm_6': np.float64(0.7629057361018793), 'arm_4': np.float64(0.7346544636710414), 'arm_9': np.float64(0.6411928937511615), 'arm_2': np.float64(0.527859631589351), 'arm_3': np.float64(0.5110181768065792), 'arm_7': np.float64(0.2896990248903867), 'arm_5': np.float64(0.2595516059541859), 'arm_0': np.float64(0.028678990782596947)}]","[{'arm_1': np.float64(0.5543710021321961), 'arm_6': np.float64(0.5196950444726811), 'arm_9': np.float64(0.48936170212765956), 'arm_4': np.float64(0.46153846153846156), 'arm_8': np.float64(0.4519230769230769), 'arm_2': np.float64(0.4424778761061947), 'arm_3': np.float64(0.3684210526315789), 'arm_7': np.float64(0.3333333333333333), 'arm_5': np.float64(0.2857142857142857), 'arm_0': np.float64(0.1111111111111111)}]"
4,4,thompson,False,2,0.020997047424316406,1000,170.50964983836639,"[{'arm_3': np.float64(0.7714425991277808), 'arm_2': np.float64(0.6248648558662828), 'arm_1': np.float64(0.5086021154500241), 'arm_6': np.float64(0.3033213048972244), 'arm_8': np.float64(0.2905531633733789), 'arm_5': np.float64(0.26932388671865126), 'arm_0': np.float64(0.25157616700911445), 'arm_9': np.float64(0.22780369920338783), 'arm_4': np.float64(0.1448344067050794), 'arm_7': np.float64(0.14214457660970214)}]","[{'arm_2': np.float64(0.5546038543897216), 'arm_3': np.float64(0.5394088669950738), 'arm_1': np.float64(0.4659090909090909), 'arm_5': np.float64(0.41025641025641024), 'arm_8': np.float64(0.3333333333333333), 'arm_6': np.float64(0.30612244897959184), 'arm_0': np.float64(0.3), 'arm_9': np.float64(0.2777777777777778), 'arm_4': np.float64(0.25925925925925924), 'arm_7': np.float64(0.14285714285714285)}]"
5,5,thompson,False,2,0.020995140075683594,1000,42.47054773894911,"[{'arm_1': np.float64(0.9071070220744226), 'arm_7': np.float64(0.8990812781634452), 'arm_4': np.float64(0.8799512970944544), 'arm_6': np.float64(0.4827705848401037), 'arm_5': np.float64(0.3915623203083092), 'arm_3': np.float64(0.3290066857262215), 'arm_2': np.float64(0.31497686010096515), 'arm_0': np.float64(0.24337676167500422), 'arm_9': np.float64(0.241096329677558), 'arm_8': np.float64(0.01237510459870661)}]","[{'arm_7': np.float64(0.5425531914893617), 'arm_1': np.float64(0.5180722891566265), 'arm_4': np.float64(0.4862068965517241), 'arm_6': np.float64(0.3815789473684211), 'arm_3': np.float64(0.3541666666666667), 'arm_2': np.float64(0.3103448275862069), 'arm_9': np.float64(0.3055555555555556), 'arm_5': np.float64(0.2222222222222222), 'arm_0': np.float64(0.2), 'arm_8': np.float64(0.1111111111111111)}]"
6,6,thompson,False,3,0.01999974250793457,1000,101.9170393843026,"[{'arm_6': np.float64(0.9301954809487509), 'arm_9': np.float64(0.8901269317594737), 'arm_3': np.float64(0.7879755049808422), 'arm_1': np.float64(0.49561474101743797), 'arm_0': np.float64(0.3217022839322934), 'arm_7': np.float64(0.27520512877582914), 'arm_2': np.float64(0.2059965537377635), 'arm_4': np.float64(0.11384116391460841), 'arm_8': np.float64(0.07328262452201662), 'arm_5': np.float64(0.030011271635001502)}]","[{'arm_9': np.float64(0.5451219512195122), 'arm_3': np.float64(0.5033259423503326), 'arm_6': np.float64(0.4988962472406181), 'arm_1': np.float64(0.4583333333333333), 'arm_2': np.float64(0.3333333333333333), 'arm_7': np.float64(0.30434782608695654), 'arm_0': np.float64(0.2727272727272727), 'arm_4': np.float64(0.17647058823529413), 'arm_8': np.float64(0.14285714285714285), 'arm_5': np.float64(0.1)}]"
7,7,thompson,False,2,0.020001888275146484,1000,34.81084681591881,"[{'arm_8': np.float64(0.8666439088606857), 'arm_6': np.float64(0.8629127454446354), 'arm_2': np.float64(0.5566390442573251), 'arm_7': np.float64(0.48948667090236586), 'arm_3': np.float64(0.42165415157766717), 'arm_1': np.float64(0.29643955300882796), 'arm_0': np.float64(0.27950109705735504), 'arm_5': np.float64(0.2606928761088779), 'arm_9': np.float64(0.08443784275422583), 'arm_4': np.float64(0.04589755909961224)}]","[{'arm_6': np.float64(0.5401015228426396), 'arm_8': np.float64(0.521505376344086), 'arm_2': np.float64(0.39655172413793105), 'arm_3': np.float64(0.2916666666666667), 'arm_7': np.float64(0.28125), 'arm_5': np.float64(0.27586206896551724), 'arm_0': np.float64(0.23809523809523808), 'arm_9': np.float64(0.2222222222222222), 'arm_1': np.float64(0.1875), 'arm_4': np.float64(0.09090909090909091)}]"
8,8,thompson,True,1,0.019893169403076172,1000,53.14414679969525,"[{'arm_9': np.float64(0.8962372069560519), 'arm_4': np.float64(0.8168660441217224), 'arm_2': np.float64(0.7896272507919337), 'arm_1': np.float64(0.5455753276275518), 'arm_7': np.float64(0.4541887549705873), 'arm_6': np.float64(0.3662989937733053), 'arm_0': np.float64(0.17682448358287473), 'arm_8': np.float64(0.13601441327583497), 'arm_3': np.float64(0.11595785819016169), 'arm_5': np.float64(0.10269767507002003)}]","[{'arm_9': np.float64(0.5633333333333334), 'arm_4': np.float64(0.4826254826254826), 'arm_2': np.float64(0.47107438016528924), 'arm_6': np.float64(0.3023255813953488), 'arm_7': np.float64(0.25), 'arm_1': np.float64(0.21428571428571427), 'arm_5': np.float64(0.15384615384615385), 'arm_8': np.float64(0.1), 'arm_0': np.float64(0.09090909090909091), 'arm_3': np.float64(0.09090909090909091)}]"
9,9,thompson,False,2,0.020196199417114258,1000,101.42418188252975,"[{'arm_4': np.float64(0.865785177555407), 'arm_7': np.float64(0.8291824740757345), 'arm_0': np.float64(0.750994765004702), 'arm_9': np.float64(0.6703558999348349), 'arm_1': np.float64(0.625533888369263), 'arm_6': np.float64(0.4101128637933549), 'arm_3': np.float64(0.3889516241741422), 'arm_2': np.float64(0.25180648042509945), 'arm_8': np.float64(0.0625166161862708), 'arm_5': np.float64(0.024237098209209718)}]","[{'arm_7': np.float64(0.5535279805352799), 'arm_4': np.float64(0.5031055900621118), 'arm_0': np.float64(0.4888888888888889), 'arm_1': np.float64(0.48577680525164113), 'arm_9': np.float64(0.4024390243902439), 'arm_2': np.float64(0.3055555555555556), 'arm_3': np.float64(0.2857142857142857), 'arm_6': np.float64(0.2631578947368421), 'arm_5': np.float64(0.14285714285714285), 'arm_8': np.float64(0.13333333333333333)}]"
