,Run,Strategy,Correct,Position,Exec_Time,Num_Iterations,Regret_Loss,True_rank,Obtained_rank
0,0,thompson,True,1,0.01720905303955078,500,63.78754753381679,"[{'arm_2': np.float64(1.0), 'arm_1': np.float64(0.25223226645234), 'arm_3': np.float64(0.23548614615652075), 'arm_0': np.float64(0.20837893585197131), 'arm_4': np.float64(0.13657621104696033)}]","[{'arm_2': np.float64(0.838), 'arm_0': np.float64(0.1793103448275862), 'arm_1': np.float64(0.17412935323383086), 'arm_4': np.float64(0.1527777777777778), 'arm_3': np.float64(0.15217391304347827)}]"
1,1,thompson,True,1,0.018906116485595703,500,96.12195741891787,"[{'arm_2': np.float64(1.0), 'arm_4': np.float64(0.45827057739759053), 'arm_1': np.float64(0.43153709697111875), 'arm_3': np.float64(0.16485147864269084), 'arm_0': np.float64(0.10203661828071403)}]","[{'arm_2': np.float64(0.6612903225806451), 'arm_4': np.float64(0.3732590529247911), 'arm_1': np.float64(0.3185840707964602), 'arm_3': np.float64(0.2), 'arm_0': np.float64(0.08333333333333333)}]"
2,2,thompson,True,1,0.013076543807983398,500,79.01524348890615,"[{'arm_2': np.float64(1.0), 'arm_1': np.float64(0.33910211606855245), 'arm_0': np.float64(0.329514524516388), 'arm_4': np.float64(0.23548723803478094), 'arm_3': np.float64(0.05407594406173477)}]","[{'arm_2': np.float64(0.7762096774193549), 'arm_0': np.float64(0.25418060200668896), 'arm_1': np.float64(0.23140495867768596), 'arm_4': np.float64(0.1917808219178082), 'arm_3': np.float64(0.09523809523809523)}]"
3,3,thompson,True,1,0.006995201110839844,500,78.68944914125382,"[{'arm_0': np.float64(1.0), 'arm_1': np.float64(0.37154734634506653), 'arm_2': np.float64(0.08659003671486704), 'arm_3': np.float64(0.0045277743797818015), 'arm_4': np.float64(0.0015718005022131165)}]","[{'arm_0': np.float64(0.7630522088353414), 'arm_1': np.float64(0.27294685990338163), 'arm_2': np.float64(0.16363636363636364), 'arm_3': np.float64(0.07692307692307693), 'arm_4': np.float64(0.058823529411764705)}]"
4,4,thompson,True,1,0.007993459701538086,500,69.46491253232966,"[{'arm_4': np.float64(1.0), 'arm_1': np.float64(0.2859310538351832), 'arm_0': np.float64(0.22138630471386378), 'arm_3': np.float64(0.19043856368729095), 'arm_2': np.float64(0.02983322420739959)}]","[{'arm_4': np.float64(0.8253012048192772), 'arm_3': np.float64(0.19827586206896552), 'arm_1': np.float64(0.19337016574585636), 'arm_0': np.float64(0.14473684210526316), 'arm_2': np.float64(0.08695652173913043)}]"
5,5,thompson,True,1,0.008002758026123047,500,75.42757900010531,"[{'arm_0': np.float64(1.0), 'arm_2': np.float64(0.2998221552079069), 'arm_4': np.float64(0.09909566826863264), 'arm_1': np.float64(0.05739429337275975), 'arm_3': np.float64(0.03095171734968144)}]","[{'arm_0': np.float64(0.792), 'arm_2': np.float64(0.245), 'arm_1': np.float64(0.11363636363636363), 'arm_4': np.float64(0.1), 'arm_3': np.float64(0.08333333333333333)}]"
6,6,thompson,True,1,0.008007526397705078,500,83.94129278294184,"[{'arm_4': np.float64(1.0), 'arm_3': np.float64(0.2326656450743949), 'arm_1': np.float64(0.2279922269320268), 'arm_2': np.float64(0.14725353147492015), 'arm_0': np.float64(0.005576569831433398)}]","[{'arm_4': np.float64(0.8191268191268192), 'arm_1': np.float64(0.22108843537414966), 'arm_2': np.float64(0.22093023255813954), 'arm_3': np.float64(0.19696969696969696), 'arm_0': np.float64(0.058823529411764705)}]"
7,7,thompson,True,1,0.007991313934326172,500,72.89776229519612,"[{'arm_3': np.float64(1.0), 'arm_1': np.float64(0.25166569581312376), 'arm_4': np.float64(0.190109894604526), 'arm_0': np.float64(0.16519967169270383), 'arm_2': np.float64(0.09337095190230527)}]","[{'arm_3': np.float64(0.8163672654690619), 'arm_1': np.float64(0.20634920634920634), 'arm_4': np.float64(0.19491525423728814), 'arm_2': np.float64(0.13793103448275862), 'arm_0': np.float64(0.11538461538461539)}]"
8,8,thompson,True,1,0.008002042770385742,500,107.91601557661875,"[{'arm_3': np.float64(1.0), 'arm_1': np.float64(0.4804539484247044), 'arm_0': np.float64(0.44420492224232444), 'arm_4': np.float64(0.4044930222023682), 'arm_2': np.float64(0.08086256503658107)}]","[{'arm_3': np.float64(0.6508620689655172), 'arm_1': np.float64(0.40057636887608067), 'arm_4': np.float64(0.3565217391304348), 'arm_0': np.float64(0.3076923076923077), 'arm_2': np.float64(0.15789473684210525)}]"
9,9,thompson,True,1,0.008005380630493164,500,76.40633009708256,"[{'arm_2': np.float64(1.0), 'arm_1': np.float64(0.37480925764934075), 'arm_4': np.float64(0.3004712476946816), 'arm_3': np.float64(0.07670447354156051), 'arm_0': np.float64(0.002059269613221393)}]","[{'arm_2': np.float64(0.7655310621242485), 'arm_1': np.float64(0.2796610169491525), 'arm_4': np.float64(0.19230769230769232), 'arm_3': np.float64(0.09090909090909091), 'arm_0': np.float64(0.05)}]"
10,10,thompson,True,1,0.007992744445800781,500,80.54070738898787,"[{'arm_3': np.float64(1.0), 'arm_4': np.float64(0.20354575542703301), 'arm_1': np.float64(0.17440180389618493), 'arm_2': np.float64(0.12298002035257438), 'arm_0': np.float64(0.12224038031013917)}]","[{'arm_3': np.float64(0.8174442190669371), 'arm_4': np.float64(0.22727272727272727), 'arm_1': np.float64(0.20866141732283464), 'arm_0': np.float64(0.14285714285714285), 'arm_2': np.float64(0.10869565217391304)}]"
11,11,thompson,True,1,0.007996559143066406,500,67.5641001004044,"[{'arm_3': np.float64(1.0), 'arm_0': np.float64(0.23302850310895656), 'arm_4': np.float64(0.2084728218001058), 'arm_2': np.float64(0.19622000709517196), 'arm_1': np.float64(0.1580407480634155)}]","[{'arm_3': np.float64(0.8353413654618473), 'arm_4': np.float64(0.1894273127753304), 'arm_1': np.float64(0.16901408450704225), 'arm_0': np.float64(0.16666666666666666), 'arm_2': np.float64(0.15)}]"
12,12,thompson,True,1,0.008008480072021484,500,112.30801379669981,"[{'arm_2': np.float64(1.0), 'arm_4': np.float64(0.41556000293821094), 'arm_1': np.float64(0.4007404500882321), 'arm_3': np.float64(0.3505332722512213), 'arm_0': np.float64(0.1789331018023142)}]","[{'arm_2': np.float64(0.6885964912280702), 'arm_4': np.float64(0.37358490566037733), 'arm_1': np.float64(0.3423913043478261), 'arm_3': np.float64(0.3023255813953488), 'arm_0': np.float64(0.15789473684210525)}]"
